,Date,Open,High,Low,Close,Adj Close,Volume,Diff,Percent_Change
0,2009-06-15,942.450012,942.450012,919.650024,923.719971,923.719970703125,4697880000,,
1,2009-06-16,925.599976,928.000000,911.599976,911.969971,911.969970703125,4951200000,-11.75,-0.012884195894002914
2,2009-06-17,911.890015,918.440002,903.780029,910.710022,910.7100219726562,5523650000,-1.25994873046875,-0.0013834795681759715
3,2009-06-18,910.859985,921.929993,907.940002,918.369995,918.3699951171875,4684010000,7.65997314453125,0.008340835571289062
4,2009-06-19,919.960022,927.090027,915.799988,921.229980,921.22998046875,5713390000,2.8599853515625,0.003104529110714793
5,2009-06-22,918.130005,918.130005,893.039978,893.039978,893.0399780273438,4903940000,-28.19000244140625,-0.03156634047627449
6,2009-06-23,893.460022,898.690002,888.859985,895.099976,895.0999755859375,5071020000,2.05999755859375,0.00230141612701118
7,2009-06-24,896.309998,910.849976,896.309998,900.940002,900.9400024414062,4636720000,5.84002685546875,0.006482148543000221
8,2009-06-25,899.450012,921.419983,896.270020,920.260010,920.260009765625,4911240000,19.32000732421875,0.020994074642658234
9,2009-06-26,918.840027,922.000000,913.030029,918.900024,918.9000244140625,6076660000,-1.3599853515625,-0.0014800145290791988
10,2009-06-29,919.859985,927.989990,916.179993,927.229980,927.22998046875,4211760000,8.3299560546875,0.008983700536191463
11,2009-06-30,927.150024,930.010010,912.859985,919.320007,919.3200073242188,4627570000,-7.90997314453125,-0.008604156784713268
12,2009-07-01,920.820007,931.919983,920.820007,923.330017,923.3300170898438,3919400000,4.010009765625,0.004342986270785332
13,2009-07-02,921.239990,921.239990,896.419983,896.419983,896.4199829101562,3931000000,-26.9100341796875,-0.030019449070096016
14,2009-07-06,894.270020,898.719971,886.359985,898.719971,898.719970703125,4712580000,2.29998779296875,0.0025591817684471607
15,2009-07-07,898.599976,898.599976,879.929993,881.030029,881.030029296875,4673300000,-17.68994140625,-0.02007870376110077
16,2009-07-08,881.900024,886.799988,869.320007,879.559998,879.5599975585938,5721780000,-1.47003173828125,-0.0016713262302801013
17,2009-07-09,881.280029,887.859985,878.450012,882.679993,882.6799926757812,4347170000,3.1199951171875,0.0035346841905266047
18,2009-07-10,880.030029,883.570007,872.809998,879.130005,879.1300048828125,3912080000,-3.54998779296875,-0.004038069397211075
19,2009-07-13,879.570007,901.049988,875.320007,901.049988,901.0499877929688,4499440000,21.91998291015625,0.024327155202627182
20,2009-07-14,900.770020,905.840027,896.500000,905.840027,905.8400268554688,4149030000,4.7900390625,0.005287952721118927
21,2009-07-15,910.150024,933.950012,910.150024,932.679993,932.6799926757812,5238830000,26.8399658203125,0.02877725102007389
22,2009-07-16,930.169983,943.960022,927.450012,940.739990,940.739990234375,4898640000,8.05999755859375,0.008567720651626587
23,2009-07-17,940.559998,941.890015,934.650024,940.380005,940.3800048828125,5141380000,-0.3599853515625,-0.0003828083863481879
24,2009-07-20,942.070007,951.619995,940.989990,951.130005,951.1300048828125,4853150000,10.75,0.011302345432341099
25,2009-07-21,951.969971,956.530029,943.219971,954.580017,954.5800170898438,5309300000,3.45001220703125,0.003614167682826519
26,2009-07-22,953.400024,959.830017,947.750000,954.070007,954.0700073242188,4634100000,-0.510009765625,-0.0005345622193999588
27,2009-07-23,954.070007,979.419983,953.270020,976.289978,976.2899780273438,5761650000,22.219970703125,0.02275960147380829
28,2009-07-24,972.159973,979.789978,965.950012,979.260010,979.260009765625,4458300000,2.97003173828125,0.0030329348519444466
29,2009-07-27,978.630005,982.489990,972.289978,982.179993,982.1799926757812,4631290000,2.91998291015625,0.0029729611705988646
30,2009-07-28,981.479980,982.349976,969.349976,979.619995,979.6199951171875,5490350000,-2.55999755859375,-0.0026132557541131973
